CustomerID,Lookalikes
C0001,"[('C0152', 0.984), ('C0107', 0.9544), ('C0191', 0.8835)]"
C0002,"[('C0142', 0.9571), ('C0088', 0.9271), ('C0177', 0.9054)]"
C0003,"[('C0112', 0.9502), ('C0052', 0.9438), ('C0120', 0.9159)]"
C0004,"[('C0113', 0.9717), ('C0099', 0.9464), ('C0155', 0.9451)]"
C0005,"[('C0123', 0.9852), ('C0186', 0.9741), ('C0159', 0.9591)]"
C0006,"[('C0168', 0.9724), ('C0158', 0.9453), ('C0148', 0.9069)]"
C0007,"[('C0140', 0.9146), ('C0080', 0.9058), ('C0110', 0.8425)]"
C0008,"[('C0109', 0.9673), ('C0098', 0.9475), ('C0139', 0.9393)]"
C0009,"[('C0060', 0.9704), ('C0121', 0.9633), ('C0199', 0.955)]"
C0010,"[('C0199', 0.9812), ('C0009', 0.9435), ('C0111', 0.9201)]"
C0011,"[('C0048', 0.9793), ('C0137', 0.9614), ('C0190', 0.8582)]"
C0012,"[('C0169', 0.9651), ('C0126', 0.9619), ('C0165', 0.9506)]"
C0013,"[('C0104', 0.9834), ('C0155', 0.9788), ('C0099', 0.9654)]"
C0014,"[('C0058', 0.9606), ('C0062', 0.9426), ('C0097', 0.9363)]"
C0015,"[('C0036', 0.9488), ('C0033', 0.8886), ('C0035', 0.883)]"
C0016,"[('C0183', 0.9991), ('C0026', 0.7606), ('C0067', 0.7547)]"
C0017,"[('C0075', 0.982), ('C0124', 0.9273), ('C0175', 0.8628)]"
C0018,"[('C0079', 0.9317), ('C0117', 0.9215), ('C0182', 0.7667)]"
C0019,"[('C0172', 0.9952), ('C0111', 0.9096), ('C0119', 0.9059)]"
C0020,"[('C0144', 0.963), ('C0176', 0.9622), ('C0110', 0.9598)]"
